nome_marca;descricao_situacao;descricao_natureza;nome_titular
HARALDCONFEITEIRO;Registrodemarcaemvigor;DeProduto;HARALDINDUSTRIAECOMERCIODEALIMENTOSS.A
HARALDCONFEITEIRO;Registrodemarcaemvigor;DeProduto;HARALDINDUSTRIAECOMERCIODEALIMENTOSS.A
HARALDCONFEITEIRO;Registrodemarcaemvigor;DeProduto;HARALDINDUSTRIAECOMERCIODEALIMENTOSS.A
HARALDCONFEITEIRO;Registrodemarcaemvigor;DeProduto;HARALDINDUSTRIAECOMERCIODEALIMENTOSS.A
HARALDCONFEITEIRO;Registrodemarcaemvigor;DeProduto;HARALDINDUSTRIAECOMERCIODEALIMENTOSS.A
EcoplusLimpeza&Cia;Pedidoderegistrodemarcaindeferido(seminterposiçãoderecurso);DeServiço;ECOREVENDEDORADEPRODUTOSDELIMPEZADESÃOPAULOLTDA.
EcoplusLimpeza&Cia;Pedidoderegistrodemarcaindeferido(seminterposiçãoderecurso);DeServiço;ECOREVENDEDORADEPRODUTOSDELIMPEZADESÃOPAULOLTDA.
SACILOTTO;Registrodemarcaemvigor;DeProduto;JOÃOFERNANDOSACILOTTO
SACILOTTO;Registrodemarcaemvigor;DeProduto;JOÃOFERNANDOSACILOTTO
SACILOTTO;Registrodemarcaemvigor;DeProduto;JOÃOFERNANDOSACILOTTO
DIGITALAMS;Registrodemarcaemvigor;DeServiço;MERCKSHARP&DOHMECORP.
DIGITALAMS;Registrodemarcaemvigor;DeServiço;MERCKSHARP&DOHMECORP.
DIGITALAMS;Registrodemarcaemvigor;DeServiço;MERCKSHARP&DOHMECORP.
PRIME;Aguardandoapresentaçãoouexamederecursocontraoindeferimento;DeServiço;AMAZONTECHNOLOGIES,INC.
PRIME;Aguardandoapresentaçãoouexamederecursocontraoindeferimento;DeServiço;AMAZONTECHNOLOGIES,INC.
PRIME;Aguardandoapresentaçãoouexamederecursocontraoindeferimento;DeServiço;AMAZONTECHNOLOGIES,INC.
QUALIBOND;Registrodemarcaemvigor;DeServiço;CHANSPORTINDÚSTRIAECOMÉRCIOLTDA
QUALIBOND;Registrodemarcaemvigor;DeServiço;CHANSPORTINDÚSTRIAECOMÉRCIOLTDA
QUALIBOND;Registrodemarcaemvigor;DeServiço;CHANSPORTINDÚSTRIAECOMÉRCIOLTDA
QUALIBOND;Registrodemarcaemvigor;DeServiço;CHANSPORTINDÚSTRIAECOMÉRCIOLTDA
SCIEN;Registrodemarcaemvigor;DeServiço;PACEINDUSTRIAMECANICALTDA-ME
SCIEN;Registrodemarcaemvigor;DeServiço;PACEINDUSTRIAMECANICALTDA-ME
SCIEN;Registrodemarcaemvigor;DeServiço;PACEINDUSTRIAMECANICALTDA-ME
HUAXIA;Pedidodefinitivamentearquivado;DeProduto;HUAXIACOMERCIALELOGISTICAEIRELI-EPP
HUAXIA;Pedidodefinitivamentearquivado;DeProduto;HUAXIACOMERCIALELOGISTICAEIRELI-EPP
HUAXIA;Pedidodefinitivamentearquivado;DeProduto;HUAXIACOMERCIALELOGISTICAEIRELI-EPP
PIANNA;Registrodemarcaemvigor;DeServiço;IRMÃOSPIANNALTDA
PIANNA;Registrodemarcaemvigor;DeServiço;IRMÃOSPIANNALTDA
PIANNA;Registrodemarcaemvigor;DeServiço;IRMÃOSPIANNALTDA
;Pedidoderegistrodemarcaindeferido(mantidoemgrauderecurso);DeProduto;ABERTISAUTOPISTASESPAA,S.A.
;Pedidoderegistrodemarcaindeferido(mantidoemgrauderecurso);DeProduto;ABERTISAUTOPISTASESPAA,S.A.
;Pedidoderegistrodemarcaindeferido(mantidoemgrauderecurso);DeProduto;ABERTISAUTOPISTASESPAA,S.A.
;Pedidoderegistrodemarcaindeferido(mantidoemgrauderecurso);DeProduto;ABERTISAUTOPISTASESPAA,S.A.
U21;Pedidodefinitivamentearquivado;DeProduto;ALEXANDRENASCIMENTO
U21;Pedidodefinitivamentearquivado;DeProduto;ALEXANDRENASCIMENTO
U21;Pedidodefinitivamentearquivado;DeProduto;ALEXANDRENASCIMENTO
KKAMARK;Aguardandoapresentaçãoouexamederecursocontraoindeferimento;DeServiço;KAMARKMARCASEPATENTESLTDA
KKAMARK;Aguardandoapresentaçãoouexamederecursocontraoindeferimento;DeServiço;KAMARKMARCASEPATENTESLTDA
KKAMARK;Aguardandoapresentaçãoouexamederecursocontraoindeferimento;DeServiço;KAMARKMARCASEPATENTESLTDA
KKAMARK;Aguardandoapresentaçãoouexamederecursocontraoindeferimento;DeServiço;KAMARKMARCASEPATENTESLTDA
KKAMARK;Aguardandoapresentaçãoouexamederecursocontraoindeferimento;DeServiço;KAMARKMARCASEPATENTESLTDA
KKAMARK;Aguardandoapresentaçãoouexamederecursocontraoindeferimento;DeServiço;KAMARKMARCASEPATENTESLTDA
